Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
Elton (ATA),,1421,1,1560,1560,1021,,2.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,4.0,2020,1
Saravia (LAT),,1319,1,1220,1220,719,8.0,,,1.0,3.0,1.0,1.0,,,,,,1.0,,,3.0,,,,8.0,2020,1
Marinho (ATA),,1210,1,1170,1170,710,1.0,1.0,,,6.0,,1.0,,,,,,,,,2.0,,,,5.0,2020,1
Igor Rabello (ZAG),,1341,1,1050,1050,541,5.0,,,1.0,2.0,,,,,,,,,,,,,,,5.0,2020,1
Léo Cittadini (MEI),,1290,1,980,980,490,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,2020,1
Diego Souza (ATA),,1276,1,960,960,476,,1.0,,,2.0,2.0,1.0,,,,,,,,,2.0,,,,12.0,2020,1
Jonatan Gomez (MEI),,1196,1,950,950,496,,1.0,,,3.0,1.0,,,,,,,,,,1.0,,,,3.0,2020,1
Cléber (ATA),,797,1,900,900,597,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,3.0,2020,1
Alison (MEI),,1073,1,880,880,473,3.0,,1.0,,3.0,,,,,,,,,,,,,,,7.0,2020,1
Pedro Geromel (ZAG),,1109,1,830,830,409,5.0,,,1.0,,1.0,,,,,,,,,,3.0,,,,10.0,2020,1
Vanderlei (GOL),,957,1,820,820,457,,,,1.0,,,,,,,,,,,,,,,,8.0,2020,1
Moisés (LAT),,949,1,810,810,449,4.0,,,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,,,14.0,2020,1
Guilherme Arana (LAT),,1797,1,780,780,97,4.0,,,1.0,,,1.0,,,,,,,,,2.0,,,,14.0,2020,1
Aderlan (LAT),,899,1,740,740,399,9.0,,,,,,,,,,,,,,,2.0,,,,6.0,2020,1
Abner Vinícius (LAT),,739,1,720,720,439,3.0,,,1.0,,,,,,,,,,,,,,,,8.0,2020,1
Rafael (GOL),,1174,1,720,720,274,,,,1.0,,,,,,,,,,,,,,,,18.0,2020,1
Thiago Galhardo (MEI),,1007,1,690,690,307,2.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,2020,1
Fernando Sobral (MEI),,710,1,680,680,410,3.0,,1.0,,1.0,2.0,1.0,,,,,,1.0,,,3.0,,,,10.0,2020,1
Paolo Guerrero (ATA),,1413,1,650,650,113,,1.0,,,,,,,,,,,,,,2.0,,,,5.0,2020,1
Bruno Cortez (LAT),,906,1,650,650,306,5.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,10.0,2020,1
Dorival Júnior (TEC),,965,1,631,631,265,,,,,,,,,,,,,,,,,,,,,2020,1
Matheus Galdezani (MEI),,790,1,590,590,290,3.0,,,,1.0,,,1.0,,,,,,,,,,,,6.0,2020,1
Artur (ATA),,1363,1,580,580,63,3.0,,,,3.0,1.0,2.0,,,,,,,,,2.0,,,,9.0,2020,1
Diego Alves (GOL),,1421,1,560,560,21,,,,,1.0,,,,,,,,,,1.0,,,,,9.0,2020,1
Patric (LAT),,746,1,530,530,246,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,10.0,2020,1
Willian Arão (MEI),,1102,1,520,520,102,5.0,,,,3.0,,,,,,,,,,,2.0,,,,3.0,2020,1
Khellven (LAT),,580,1,500,500,280,,,,1.0,1.0,,,,,,,,,,,,,,,5.0,2020,1
Renato Gaúcho (TEC),,1229,1,495,495,29,,,,,,,,,,,,,,,,,,,,,2020,1
Kannemann (ZAG),,1145,1,480,480,45,1.0,,,1.0,2.0,,,,,,,,,,,4.0,,,,2.0,2020,1
Everton Ribeiro (MEI),,689,1,450,450,189,3.0,,,,2.0,,1.0,,,,,,,,,,,,,7.0,2020,1
Daniel Paulista (TEC),,465,1,442,442,265,,,,,,,,,,,,,,,,,,,,,2020,1
Víctor Cuesta (ZAG),,1044,1,440,440,44,3.0,,,1.0,1.0,,,,,,,,1.0,,,3.0,,,,6.0,2020,1
Arrascaeta (MEI),,2124,1,430,430,-376,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,10.0,2020,1
Sander (LAT),,819,1,430,430,119,4.0,,,,3.0,,,,,,,,,,,1.0,,,,7.0,2020,1
Gerson (MEI),,1109,1,430,430,9,3.0,,,,3.0,1.0,,,,,,,,,,1.0,,,,5.0,2020,1
Dodi (MEI),,674,1,430,430,174,4.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,5.0,2020,1
Eduardo Coudet (TEC),,1032,1,425,425,32,,,,,,,,,,,,,,,,,,,,,2020,1
Pará (LAT),,812,1,420,420,112,3.0,,,,,1.0,1.0,,,,,,,,,,,,,8.0,2020,1
Marcelo Lomba (GOL),,1522,1,400,400,-178,,,,1.0,,,,,,,,,,,,,,,,10.0,2020,1
Patrick Vieira (LAT),,500,1,390,390,200,3.0,,,,2.0,1.0,1.0,,,,,,,,,2.0,,,,11.0,2020,1
Evanilson (ATA),,710,1,380,380,110,1.0,,,,5.0,,1.0,,,,,,,,,1.0,,,,4.0,2020,1
Nenê (MEI),,906,1,350,350,6,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,17.0,2020,1
Nikão (MEI),,1486,1,350,350,-214,,,,,3.0,2.0,1.0,,,,,,,,,1.0,,,,3.0,2020,1
Lucas Veríssimo (ZAG),,1116,1,340,340,-84,4.0,,,,,,,,,,,,,,,,,,,6.0,2020,1
Felipe Jonatan (LAT),,754,1,340,340,54,4.0,,,,3.0,,,,,,,,,,,2.0,,,,11.0,2020,1
Mateus Gonçalves (ATA),,536,1,340,340,136,2.0,,,,1.0,,1.0,,,,,,,,,,,,,3.0,2020,1
Rafael Sobis (ATA),,826,1,340,340,26,1.0,,,,,2.0,2.0,,,,,,,,,2.0,,,,6.0,2020,1
Betinho (MEI),,457,1,330,330,157,5.0,,,,,,,,,,,,,,,2.0,,,,7.0,2020,1
Nathan (MEI),,739,1,320,320,39,5.0,,,,,,,,,,,,,,,2.0,1.0,,,3.0,2020,1
Romarinho (ATA),,522,1,320,320,122,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,3.0,2020,1
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,1
Fellipe Bastos (MEI),,1152,1,1930,1930,752,2.0,2.0,,,,,1.0,1.0,,,,,,,,5.0,,,,4.0,2020,2
Daniel Alves (MEI),,1615,1,1640,1640,415,6.0,1.0,,,5.0,4.0,,,,,,,,,,3.0,1.0,,,13.0,2020,2
Jean (GOL),,936,1,1610,1610,636,,,,1.0,,,,,,,,,,,,,,,,9.0,2020,2
Gustavo Ferrareis (MEI),,997,1,1580,1580,597,2.0,1.0,1.0,,4.0,1.0,,,,,,,,,,1.0,1.0,,,10.0,2020,2
Saravia (LAT),,2104,2,1475,1730,785,16.0,,1.0,2.0,4.0,1.0,1.0,,,,,,1.0,,,4.0,,,,15.0,2020,2
Vitinho (ATA),,1899,2,1470,1820,870,4.0,2.0,1.0,,3.0,1.0,2.0,1.0,,,,,,,,4.0,,,,13.0,2020,2
Jô (ATA),,1430,1,1390,1390,330,,1.0,1.0,,2.0,,1.0,,,,,,,,,1.0,,,,8.0,2020,2
Paolo Guerrero (ATA),,2067,2,1260,1870,654,2.0,2.0,1.0,,3.0,2.0,1.0,1.0,,,,,,,,6.0,2.0,,,11.0,2020,2
Jorginho (MEI),,985,1,1220,1220,385,4.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,3.0,2020,2
Tiago Volpi (GOL),,1576,1,1220,1220,176,,,,1.0,,,,,,,,,,,,,,,,8.0,2020,2
Douglas Friedrich (GOL),,1207,1,1220,1220,307,,,,1.0,,,,,,,,,,,,,,,,8.0,2020,2
Hyuri (ATA),,858,1,1100,1100,358,2.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,2.0,2020,2
Reinaldo (LAT),,1375,1,1100,1100,175,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,10.0,2020,2
Rodriguinho (MEI),,1740,1,1090,1090,40,,1.0,,,4.0,1.0,1.0,,,,,,,,,1.0,,,,6.0,2020,2
Henrique (LAT),,818,1,1010,1010,318,6.0,,,1.0,1.0,,,,,,,,,,,2.0,,,,4.0,2020,2
Diego Souza (ATA),,1276,1,960,0,0,,1.0,,,2.0,2.0,1.0,,,,,,,,,2.0,,,,12.0,2020,2
Nicolas (LAT),,713,1,940,940,313,3.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,16.0,2020,2
Guga (LAT),,1422,2,935,1310,509,8.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,2.0,,,,18.0,2020,2
Cléber (ATA),,1259,2,905,910,462,2.0,2.0,,,,2.0,1.0,,,,,,,,,4.0,,,,7.0,2020,2
Marinho (ATA),,1516,2,895,620,306,3.0,1.0,,,16.0,1.0,2.0,,,,,,1.0,,,3.0,,,,8.0,2020,2
Vagner Mancini (TEC),,542,1,889,889,342,,,,,,,,,,,,,,,,,,,,,2020,2
Edenílson (MEI),,1056,1,880,880,156,,1.0,,,2.0,2.0,2.0,,,,,,1.0,,,2.0,,,,12.0,2020,2
Zé Rafael (MEI),,1130,1,880,880,130,2.0,,1.0,,6.0,1.0,,,,,,,,,,4.0,,,,,2020,2
Pedro Geromel (ZAG),,1109,1,830,0,0,5.0,,,1.0,,1.0,,,,,,,,,,3.0,,,,10.0,2020,2
Luiz Adriano (ATA),,1177,1,820,820,77,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,2020,2
Vanderlei (GOL),,957,1,820,0,0,,,,1.0,,,,,,,,,,,,,,,,8.0,2020,2
Léo Cittadini (MEI),,1510,2,790,600,220,4.0,1.0,,,3.0,4.0,,,,,,,,,,1.0,,,,4.0,2020,2
Juanfran (LAT),,790,1,780,780,190,2.0,,,1.0,2.0,,,,,,,,,,,,,,,2.0,2020,2
Fernando Miguel (GOL),,938,1,780,780,138,,,,1.0,,,,,,,,,,,,,,,,12.0,2020,2
Juninho Capixaba (LAT),,716,1,780,780,216,2.0,,,1.0,,,2.0,,,,,,,,,1.0,,,,11.0,2020,2
Edson (MEI),,637,1,770,770,237,5.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,3.0,2020,2
Jonatan Gomez (MEI),,1378,2,715,480,182,,1.0,,,8.0,4.0,1.0,,,,,,,,,2.0,,,,11.0,2020,2
Yago Pikachu (LAT),,906,1,710,710,106,1.0,,,1.0,2.0,,1.0,,,,,,,,,1.0,,,,6.0,2020,2
Claudinho (ATA),,1279,2,695,650,235,6.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,18.0,2020,2
Elton (ATA),,1428,2,685,-190,7,,2.0,,,,,,1.0,,,,,1.0,,,1.0,4.0,,,8.0,2020,2
Sander (LAT),,1136,2,670,910,317,12.0,,,,8.0,,,,,,,,,,,1.0,,,,21.0,2020,2
Nino Paraíba (LAT),,889,1,670,670,89,2.0,,,1.0,1.0,,,,,,,,,,,,,,,8.0,2020,2
Víctor Cuesta (ZAG),,1297,2,665,890,253,7.0,,,2.0,2.0,,,,,,,,1.0,,,3.0,,,,12.0,2020,2
Gilvan (ZAG),,589,1,660,660,189,3.0,,,1.0,,,,,,,,,,,,2.0,,,,4.0,2020,2
Leandro Carvalho (ATA),,662,1,660,660,162,2.0,,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,6.0,2020,2
Guilherme Arana (LAT),,1777,2,635,490,-20,5.0,,1.0,1.0,,1.0,2.0,,,,,,,,,5.0,,,,30.0,2020,2
Dodi (MEI),,994,2,630,830,320,10.0,,,,3.0,3.0,,,,,,,,,,1.0,,,,8.0,2020,2
Alison (MEI),,1218,2,625,370,145,7.0,,1.0,,5.0,,,,,,,,,,,2.0,,,,10.0,2020,2
Leandro Castan (ZAG),,1532,1,620,620,-168,2.0,,,1.0,1.0,,,,,,,,,,,2.0,,,,3.0,2020,2
Ramon Menezes (TEC),,791,1,617,617,91,,,,,,,,,,,,,,,,,,,,,2020,2
Éder (ZAG),,492,1,610,610,192,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,4.0,2020,2
Artur (ATA),,1463,2,610,640,100,3.0,,1.0,,4.0,2.0,3.0,,,,,,,,,2.0,,,,20.0,2020,2
Flávio (MEI),,714,1,610,610,114,6.0,,,,2.0,,1.0,,,,,,,,,3.0,,,,6.0,2020,2
Eduardo Coudet (TEC),,1235,2,603,781,203,,,,,,,,,,,,,,,,,,,,,2020,2
Jorge Sampaoli (TEC),,1386,2,601,662,125,,,,,,,,,,,,,,,,,,,,,2020,2
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,2
Marinho (ATA),,2162,3,1363,2300,646,4.0,2.0,2.0,,22.0,3.0,2.0,,,,,,1.0,,,4.0,,,,9.0,2020,3
Saravia (LAT),,2031,3,1153,510,-73,21.0,,1.0,2.0,7.0,1.0,1.0,,,,,,1.0,,,6.0,,,,19.0,2020,3
Jorginho (MEI),,1200,2,1145,1070,215,7.0,2.0,,,3.0,1.0,,,,,,,,,,3.0,,,,9.0,2020,3
João Lucas (LAT),,678,1,1100,1100,278,4.0,,,1.0,6.0,1.0,,,,,,,,,,2.0,,,,8.0,2020,3
Gustavo Ferrareis (MEI),,1008,2,1045,510,11,5.0,1.0,1.0,,8.0,1.0,1.0,,,,,,,,,2.0,1.0,,,16.0,2020,3
Jean (GOL),,937,2,1035,460,1,,,,1.0,,,,,,,,,,,1.0,,,,,23.0,2020,3
Vitinho (ATA),,1724,3,1033,160,-175,4.0,2.0,1.0,,7.0,1.0,3.0,1.0,,,,,,,,6.0,,,,19.0,2020,3
Marrony (ATA),,1422,3,1013,1970,549,6.0,2.0,,,1.0,1.0,6.0,1.0,,,,,,,,5.0,,,,6.0,2020,3
Reinaldo (LAT),,1471,2,980,860,96,4.0,1.0,1.0,1.0,5.0,,,,,,,,1.0,,,1.0,,,,24.0,2020,3
Jean Pyerre (MEI),,1442,1,950,950,-58,4.0,,,,2.0,2.0,1.0,1.0,,,,,,,,1.0,,,,8.0,2020,3
Fellipe Bastos (MEI),,937,2,935,-60,-215,4.0,2.0,,,,,1.0,1.0,,,,,,,,9.0,,,,10.0,2020,3
Cano (ATA),,1296,2,935,1680,472,1.0,2.0,,,1.0,2.0,1.0,,,,,,,,,1.0,2.0,,,1.0,2020,3
Daniel Alves (MEI),,1431,2,910,180,-184,7.0,1.0,,,7.0,5.0,1.0,,,,,,,,,4.0,2.0,,,25.0,2020,3
Gustavo Gómez (ZAG),,1418,1,880,880,-82,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,2020,3
Hyoran (MEI),,1341,3,877,280,-128,7.0,2.0,,,7.0,1.0,4.0,,,,,,1.0,,,4.0,1.0,,,13.0,2020,3
Guga (LAT),,1420,3,800,530,-2,11.0,,1.0,2.0,3.0,2.0,1.0,,,,,,1.0,,,4.0,,,,23.0,2020,3
Pedro Geromel (ZAG),,1233,2,770,710,124,7.0,,,2.0,,2.0,,,,,,,,,,4.0,,,,12.0,2020,3
Ernando (ZAG),,800,2,770,1010,269,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,8.0,2020,3
Juninho Capixaba (LAT),,851,2,745,710,135,5.0,,1.0,1.0,,1.0,2.0,,,,,,,,,3.0,,,,18.0,2020,3
Jô (ATA),,1242,2,735,80,-188,,1.0,1.0,,3.0,1.0,1.0,,,,,,,,,1.0,,,,13.0,2020,3
Guilherme Santos (LAT),,776,2,730,730,156,4.0,,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,,,,5.0,2020,3
Arrascaeta (MEI),,2104,3,723,1870,464,7.0,1.0,,,2.0,3.0,3.0,1.0,,,,,,,,1.0,,,,28.0,2020,3
Sidcley (LAT),,893,2,720,1030,267,9.0,,,1.0,6.0,,,,,,,,,,,2.0,1.0,,,11.0,2020,3
Douglas Friedrich (GOL),,1096,2,715,210,-111,,,,1.0,2.0,,,,,,,,,,1.0,,,,,17.0,2020,3
Nenê (MEI),,1285,3,687,1690,503,2.0,2.0,,,7.0,2.0,2.0,,,,,,,,,3.0,,,,34.0,2020,3
Juninho (ZAG),,997,2,680,770,144,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,9.0,2020,3
Gregore (MEI),,903,1,680,680,3,9.0,,,,1.0,,,,,,,,,,,4.0,,,,7.0,2020,3
Cássio (GOL),,1243,2,665,860,147,,,,1.0,,,,,,,,,,,3.0,,,,,17.0,2020,3
Hyuri (ATA),,798,2,660,220,-60,4.0,1.0,,,2.0,,1.0,,,,,,,,,1.0,,,,5.0,2020,3
Vanderlei (GOL),,1035,2,645,470,78,,,,2.0,,,,,,,,,,,,,,,,11.0,2020,3
Abner Vinícius (LAT),,1119,3,640,910,231,8.0,1.0,,1.0,2.0,2.0,,,,,,,,,,4.0,,,,24.0,2020,3
Victor Luis (LAT),,950,2,620,960,234,7.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,18.0,2020,3
Nicolas (LAT),,696,2,610,280,-17,6.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,26.0,2020,3
Talles Magno (ATA),,943,2,610,950,232,4.0,,1.0,,4.0,,2.0,,,,,,,,,1.0,,,,7.0,2020,3
Matheus Babi (ATA),,565,2,610,420,62,1.0,1.0,,,7.0,4.0,2.0,,,,,,1.0,,,5.0,1.0,,,9.0,2020,3
Jorge Sampaoli (TEC),,1432,3,605,613,46,,,,,,,,,,,,,,,,,,,,,2020,3
Bruno Cortez (LAT),,1185,3,603,1240,358,12.0,,,2.0,3.0,1.0,,,,,,,1.0,,,3.0,,,,27.0,2020,3
Nino Paraíba (LAT),,939,2,595,520,50,8.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,16.0,2020,3
Vagner Mancini (TEC),,555,2,594,298,13,,,,,,,,,,,,,,,,,,,,,2020,3
Léo Cittadini (MEI),,1417,3,590,190,-93,6.0,1.0,,,3.0,4.0,1.0,,,,,,,,,3.0,,,,7.0,2020,3
Pepê (ATA),,1130,3,590,590,62,5.0,,1.0,,7.0,4.0,3.0,,,,,,,,,2.0,,,,16.0,2020,3
Léo Ortiz (ZAG),,918,3,587,1240,358,9.0,1.0,,,3.0,1.0,1.0,,,,,,,,,4.0,,,,9.0,2020,3
Tiago Volpi (GOL),,1328,2,585,-50,-248,,,,1.0,,,,,,,,,,,2.0,,,,,13.0,2020,3
Júnior Alonso (ZAG),,1133,3,577,650,111,8.0,,,2.0,,2.0,,,,,,,,,,2.0,,,,13.0,2020,3
Élber (ATA),,850,2,570,930,239,3.0,,1.0,,6.0,1.0,1.0,,,,,,,,,1.0,,,,11.0,2020,3
Claudinho (ATA),,1241,3,563,300,-38,8.0,1.0,,,4.0,1.0,1.0,,,,,,,,,1.0,,,,26.0,2020,3
Luiz Adriano (ATA),,1104,2,550,280,-73,2.0,1.0,,,,3.0,,,,,,,,,,2.0,,,,4.0,2020,3
Rodriguinho (MEI),,1492,2,545,0,-248,,1.0,,,7.0,1.0,1.0,,,,,,,,,1.0,1.0,,,16.0,2020,3
Alison (MEI),,1229,3,543,380,11,13.0,,1.0,,7.0,,,,,,,,1.0,,,4.0,,,,12.0,2020,3
Roger Machado (TEC),,838,2,543,500,60,,,,,,,,,,,,,,,,,,,,,2020,3
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,3
Marinho (ATA),,2250,4,1370,1390,88,7.0,3.0,2.0,,25.0,3.0,4.0,,,,,,1.0,,,5.0,,,,14.0,2020,4
João Paulo (GOL),,820,2,1155,2160,620,,,,1.0,2.0,,,,,,,,,,1.0,,,,,9.0,2020,4
Saravia (LAT),,2031,3,1153,0,0,21.0,,1.0,2.0,7.0,1.0,1.0,,,,,,1.0,,,6.0,,,,19.0,2020,4
Fellipe Bastos (MEI),,1193,3,947,970,256,7.0,3.0,,,,,1.0,1.0,,,,,,,,11.0,,,,13.0,2020,4
Igor Rabello (ZAG),,1399,2,920,790,58,6.0,1.0,,1.0,2.0,,,,,,,,,,,2.0,,,,6.0,2020,4
Jorginho (MEI),,1111,3,843,240,-89,8.0,2.0,,,3.0,3.0,,,,,,,,,,3.0,,,,11.0,2020,4
Cano (ATA),,1254,3,840,650,-42,1.0,3.0,,,1.0,2.0,1.0,,,,,,,,,2.0,3.0,,,6.0,2020,4
Tiago Volpi (GOL),,1628,3,810,1260,300,,,,1.0,,,,,,1.0,,,,,3.0,,,,,17.0,2020,4
Reinaldo (LAT),,1436,3,800,440,-35,8.0,1.0,1.0,1.0,6.0,1.0,1.0,,,,,,1.0,,,4.0,,,,30.0,2020,4
Marrony (ATA),,1181,4,772,50,-241,6.0,2.0,,,2.0,1.0,6.0,1.0,,,,,,,,5.0,,,,6.0,2020,4
Araos (MEI),,942,3,767,910,244,4.0,1.0,2.0,,7.0,1.0,2.0,,,,,,1.0,,,3.0,,,,22.0,2020,4
Jô (ATA),,1375,3,727,710,133,,2.0,1.0,,3.0,2.0,3.0,,,,,,,1.0,,1.0,,,,14.0,2020,4
Hyoran (MEI),,1325,4,718,240,-16,8.0,2.0,,,7.0,4.0,5.0,,,,,,1.0,,,5.0,1.0,,,30.0,2020,4
Pepê (ATA),,1322,4,700,1030,192,6.0,1.0,1.0,,11.0,4.0,3.0,,,,,,,,,2.0,1.0,,,18.0,2020,4
Vitinho (ATA),,1528,4,692,-330,-196,4.0,2.0,1.0,,9.0,1.0,3.0,1.0,,,,,1.0,,,10.0,,,,22.0,2020,4
Nenê (MEI),,1261,4,690,700,-24,3.0,3.0,,,9.0,3.0,2.0,,,,,,1.0,,,4.0,,,,47.0,2020,4
Jean Pyerre (MEI),,1381,2,690,430,-61,6.0,,,,4.0,5.0,1.0,1.0,,,,,,,,2.0,,,,14.0,2020,4
Thiago Galhardo (MEI),,1434,4,688,1530,382,5.0,2.0,1.0,,5.0,3.0,1.0,,,,,,,,,6.0,,,,16.0,2020,4
Élber (ATA),,980,3,680,900,130,6.0,,1.0,,7.0,2.0,3.0,1.0,,,,,,,,1.0,,,,18.0,2020,4
Felipe Jonatan (LAT),,1190,4,675,1180,189,14.0,1.0,,1.0,8.0,3.0,,,,,,,,,,6.0,,,,34.0,2020,4
Daniel Alves (MEI),,1369,3,647,120,-62,10.0,1.0,,,7.0,5.0,1.0,,,,,,,,,5.0,2.0,,,38.0,2020,4
Alerrandro (ATA),,1049,4,632,1150,286,3.0,2.0,,,7.0,3.0,2.0,1.0,,,,,,,,4.0,3.0,,,15.0,2020,4
Talles Magno (ATA),,991,3,623,650,48,6.0,,2.0,,6.0,,2.0,,,,,,,,,2.0,1.0,,,12.0,2020,4
Alisson (MEI),,1093,4,622,1250,247,10.0,,1.0,,7.0,3.0,8.0,,,,,,,,,3.0,1.0,,,36.0,2020,4
Guga (LAT),,1318,4,617,70,-102,12.0,,1.0,2.0,3.0,2.0,1.0,,,,,,1.0,,,4.0,,,,26.0,2020,4
Gustavo Gómez (ZAG),,1340,2,615,350,-78,2.0,1.0,,1.0,,,,,,,,,,,,3.0,1.0,,,7.0,2020,4
Diogo Barbosa (LAT),,895,2,605,960,215,5.0,,,1.0,3.0,3.0,,,,,,,,,,2.0,,,,8.0,2020,4
Ramon Menezes (TEC),,958,3,593,780,150,,,,,,,,,,,,,,,,,,,,,2020,4
Pedro Geromel (ZAG),,1159,3,587,220,-74,13.0,,,2.0,,2.0,,,,,,,1.0,,,5.0,,,,25.0,2020,4
Gatito Fernández (GOL),,1416,3,580,790,110,,,,1.0,,,,,,,,,,,2.0,,,,,36.0,2020,4
Fernando Sobral (MEI),,1091,4,565,630,88,17.0,,1.0,,7.0,5.0,2.0,,,,,,1.0,,,10.0,,,,23.0,2020,4
Sidcley (LAT),,820,3,563,250,-73,11.0,,,1.0,6.0,1.0,1.0,,,,,,,,,3.0,1.0,,,21.0,2020,4
Leandro Castan (ZAG),,1528,3,560,750,99,7.0,,,2.0,4.0,,,,,,,,,,,2.0,,,,12.0,2020,4
Claudinho (ATA),,1305,4,557,540,64,10.0,1.0,,,7.0,3.0,2.0,,,,,,,,,1.0,,,,35.0,2020,4
Jorge Sampaoli (TEC),,1411,4,554,403,-21,,,,,,,,,,,,,,,,,,,,,2020,4
Guilherme Arana (LAT),,1718,4,542,450,-15,7.0,,1.0,2.0,1.0,3.0,4.0,,,,,,,,,5.0,1.0,,,50.0,2020,4
Arrascaeta (MEI),,1785,4,537,-20,-319,7.0,1.0,,,3.0,3.0,4.0,1.0,,,,,,,,3.0,,,,37.0,2020,4
Egídio (LAT),,975,4,535,740,140,23.0,,,,6.0,,2.0,,,,,,,,,4.0,,,,50.0,2020,4
Rodriguinho (MEI),,1536,3,520,470,44,,1.0,1.0,,10.0,1.0,1.0,,,,,,,,,3.0,1.0,,,24.0,2020,4
Wilson (GOL),,876,4,510,830,77,,,,,,,,,,1.0,,,,,6.0,,,,,26.0,2020,4
Dodi (MEI),,1037,4,510,480,65,20.0,,,,5.0,3.0,1.0,,,,,,1.0,,,4.0,,,,17.0,2020,4
Matheus Galdezani (MEI),,1025,4,508,690,75,11.0,,,,10.0,3.0,4.0,1.0,,,,,1.0,,,2.0,,,,29.0,2020,4
Jean (GOL),,685,3,503,-560,-252,,,,1.0,,,,,,,,,1.0,,4.0,1.0,,,,34.0,2020,4
Júnior Alonso (ZAG),,1090,4,500,270,-43,9.0,,,2.0,,2.0,,1.0,,,,,,,,4.0,,,,16.0,2020,4
Ernando (ZAG),,648,3,497,-50,-152,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,13.0,2020,4
Cuca (TEC),,1076,4,493,770,105,,,,,,,,,,,,,,,,,,,,,2020,4
Léo Cittadini (MEI),,1372,4,488,180,-45,7.0,1.0,,,6.0,4.0,1.0,,,,,,,,,4.0,,,,9.0,2020,4
Eduardo Coudet (TEC),,1219,4,481,509,66,,,,,,,,,,,,,,,,,,,,,2020,4
Edson (MEI),,702,3,480,550,123,14.0,,1.0,,4.0,,,,,,,,1.0,,,7.0,,,,11.0,2020,4
Benítez (MEI),,891,3,480,490,40,13.0,,,,7.0,2.0,1.0,,,,,,,,,5.0,,,,24.0,2020,4
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,4
Saravia (LAT),,2035,4,1057,770,4,24.0,,1.0,3.0,10.0,1.0,1.0,,,,,,1.0,,,8.0,,,,27.0,2020,5
Calegari (LAT),,430,1,1030,1030,230,5.0,,,1.0,4.0,,,,,,,,,,,2.0,,,,7.0,2020,5
Gustavo Ferrareis (MEI),,962,3,780,250,-46,6.0,1.0,1.0,,12.0,4.0,1.0,,,,,,,,,6.0,1.0,,,25.0,2020,5
Jorginho (MEI),,1144,4,730,390,33,9.0,2.0,,,7.0,4.0,1.0,,,,,,,,,3.0,,,,22.0,2020,5
Thiago Galhardo (MEI),,1443,5,730,900,9,6.0,3.0,1.0,,8.0,3.0,1.0,,,,,,,,,8.0,,,,21.0,2020,5
Fellipe Bastos (MEI),,1035,4,710,0,-158,9.0,3.0,,,,,1.0,1.0,,,,,,,,14.0,,,,18.0,2020,5
