Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
Réver (ZAG),,833,11,371,610,18,16.0,1.0,1.0,3.0,8.0,5.0,1.0,,,,,,1.0,,,9.0,,,,59.0,2020,18
Isla (LAT),,978,10,367,960,55,21.0,,4.0,2.0,6.0,,,,,,,,1.0,,,10.0,5.0,,,78.0,2020,18
Cuca (TEC),,1075,18,364,316,-8,,,,,,,,,,,,,,,,,,,,,2020,18
Patrick de Paula (MEI),,538,14,360,30,-22,32.0,1.0,1.0,,17.0,8.0,6.0,1.0,,,,,1.0,,,21.0,,,,72.0,2020,18
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,18
Davó (ATA),,334,1,920,920,134,1.0,1.0,,,,1.0,1.0,,,,,,,,,2.0,1.0,,,3.0,2020,19
Pepê (ATA),,1423,14,743,210,31,24.0,5.0,3.0,,37.0,10.0,7.0,,,,,,,,,7.0,1.0,,,58.0,2020,19
Keno (ATA),,1379,17,704,0,0,23.0,8.0,2.0,,21.0,21.0,21.0,4.0,,,,,3.0,,,22.0,16.0,,,169.0,2020,19
Raul Prata (LAT),,556,2,685,730,48,4.0,,,2.0,2.0,,,,,,,,,,,1.0,,,,8.0,2020,19
Vinícius (MEI),,1073,14,670,560,-64,11.0,6.0,3.0,,8.0,21.0,15.0,1.0,,,,,1.0,,,10.0,3.0,,,134.0,2020,19
Reinaldo (LAT),,1526,13,599,990,94,29.0,4.0,1.0,5.0,13.0,4.0,7.0,,,,,,3.0,,,18.0,,,,164.0,2020,19
Robson (ATA),,940,18,565,0,0,25.0,6.0,1.0,,39.0,21.0,10.0,4.0,,,,,3.0,,,32.0,11.0,,,89.0,2020,19
Heitor (LAT),,461,6,555,-10,-89,19.0,,3.0,1.0,8.0,1.0,2.0,,,,,,2.0,,,10.0,,,,39.0,2020,19
Raul (MEI),,946,11,529,1060,169,44.0,1.0,1.0,,32.0,2.0,1.0,,,,,,,,,20.0,1.0,,,71.0,2020,19
Brenner (ATA),,717,11,527,1080,212,5.0,5.0,1.0,,13.0,9.0,4.0,1.0,,,,,2.0,,,10.0,5.0,,,20.0,2020,19
Victor Luis (LAT),,938,12,515,-250,-151,38.0,2.0,,3.0,12.0,3.0,3.0,,,,,,,1.0,,9.0,,,,106.0,2020,19
Viña (LAT),,1002,11,506,1240,125,38.0,,2.0,3.0,13.0,4.0,2.0,,,,,,2.0,,,11.0,2.0,,,89.0,2020,19
Fernando Sobral (MEI),,1256,17,504,80,2,54.0,1.0,3.0,,34.0,13.0,8.0,1.0,,,,,2.0,,,28.0,6.0,,,102.0,2020,19
Patrick (MEI),,1196,17,501,300,-119,43.0,3.0,2.0,,31.0,6.0,6.0,2.0,,,,,1.0,,,27.0,2.0,,,86.0,2020,19
Léo Matos (LAT),,632,1,500,500,132,1.0,1.0,,,1.0,,,,,,,,1.0,,,2.0,,,,15.0,2020,19
Guga (LAT),,1388,16,496,410,-27,40.0,1.0,1.0,6.0,19.0,6.0,2.0,1.0,,,,,1.0,,,18.0,,,,123.0,2020,19
Orejuela (LAT),,1088,14,491,1230,150,43.0,1.0,,5.0,18.0,5.0,3.0,1.0,,,,,1.0,,,20.0,1.0,,,143.0,2020,19
Everton Ribeiro (MEI),,874,15,480,230,-70,18.0,5.0,2.0,,30.0,8.0,6.0,,,,,,2.0,,,16.0,1.0,,,120.0,2020,19
Felipe Jonatan (LAT),,1216,18,480,280,47,64.0,2.0,1.0,3.0,22.0,11.0,3.0,,,,,,5.0,,,24.0,,,,149.0,2020,19
Vinícius (ATA),,482,12,479,90,-15,17.0,3.0,1.0,,29.0,7.0,8.0,,,,,,2.0,,,21.0,,,,38.0,2020,19
Matheus Galdezani (MEI),,1225,15,477,1000,169,46.0,1.0,1.0,,25.0,10.0,6.0,2.0,,,,,2.0,,,15.0,,,,96.0,2020,19
Luciano (ATA),,921,13,476,830,111,19.0,5.0,1.0,,22.0,6.0,2.0,1.0,,,,,3.0,,,20.0,2.0,,,63.0,2020,19
