Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Frazan (ZAG),Fluminense,3.65,10.0,2.29,9.7,1.01,,1.0,,5.0,1.0,,,,,,,2.0,1.0,,,9.0,,,26,2019,5.0,5.0
Bruno Méndez (ZAG),Corinthians,4.33,4.0,2.25,-0.8,-0.68,,,,1.0,1.0,,,,,,,,2.0,,,3.0,,,26,2019,8.0,10.0
Arboleda (ZAG),São Paulo,6.37,17.0,2.24,0.5,-0.89,,,1.0,5.0,13.0,5.0,4.0,,,,,,5.0,,,20.0,1.0,,26,2019,15.0,31.0
Flávio (MEI),Bahia,3.7,18.0,2.2,3.0,-1.09,,,,,14.0,5.0,1.0,,,,,,2.0,,,29.0,1.0,,26,2019,35.0,20.0
Naldo (MEI),CSA,4.95,23.0,2.17,7.4,1.4,,,3.0,,13.0,7.0,5.0,,,,,,5.0,,,38.0,2.0,,26,2019,37.0,29.0
Ricardo (ZAG),Avaí,4.56,16.0,2.16,2.7,0.48,,,,7.0,3.0,2.0,2.0,,,,,,3.0,,,15.0,3.0,,26,2019,13.0,35.0
Michel (MEI),Grêmio,4.85,15.0,2.13,0.0,0.0,,,,,2.0,5.0,5.0,,,,2.0,,3.0,,,28.0,,,26,2019,39.0,25.0
Gregore (MEI),Bahia,10.23,23.0,2.13,5.0,1.19,,,,,19.0,9.0,2.0,,,,,1.0,5.0,,,80.0,,,26,2019,70.0,67.0
Igor Rabello (ZAG),Atlético-MG,7.88,22.0,2.13,-3.5,-0.76,,,,3.0,15.0,6.0,1.0,,,,,1.0,1.0,,,22.0,1.0,,26,2019,30.0,27.0
Luiz Otávio (ZAG),Ceará,8.51,16.0,2.12,0.2,-1.57,,,1.0,4.0,9.0,2.0,1.0,,,,,,5.0,,,23.0,,,26,2019,19.0,18.0
Fábio Santos (LAT),Atlético-MG,9.7,19.0,2.11,5.0,1.24,,2.0,1.0,3.0,14.0,2.0,2.0,1.0,,,,,4.0,,,19.0,2.0,,26,2019,13.0,36.0
Alan Costa (ZAG),CSA,4.23,15.0,2.11,-0.6,-0.33,,,,5.0,3.0,4.0,1.0,,,,,,3.0,,,14.0,1.0,,26,2019,14.0,23.0
Luciano Castán (ZAG),CSA,5.32,23.0,2.1,-1.0,-0.33,,,,9.0,6.0,1.0,,,,,,,7.0,,,17.0,,,26,2019,22.0,37.0
Bergson (ATA),Ceará,4.5,14.0,2.07,1.2,-1.47,,1.0,,,16.0,11.0,11.0,,,,,,1.0,,,12.0,6.0,,26,2019,4.0,13.0
Gustavo (ATA),Corinthians,5.66,13.0,2.06,12.5,2.64,,2.0,1.0,,11.0,6.0,4.0,,,,,,1.0,,,17.0,2.0,,26,2019,2.0,3.0
Matheus Barbosa (MEI),Avaí,4.14,15.0,2.05,2.4,0.12,,,1.0,,10.0,6.0,4.0,,,,,,1.0,,,15.0,1.0,,26,2019,21.0,34.0
Zé Rafael (MEI),Palmeiras,8.1,14.0,2.04,-1.3,-0.26,,,1.0,,30.0,7.0,6.0,,,,,,3.0,,,29.0,2.0,,26,2019,15.0,17.0
Yago Rocha (LAT),Goiás,1.86,10.0,2.04,1.2,-0.72,,,,4.0,9.0,1.0,,,,,,1.0,1.0,,,11.0,1.0,,26,2019,9.0,18.0
Richard (MEI),Vasco,4.51,17.0,2.02,2.0,0.18,,,,,21.0,5.0,3.0,,,,,,4.0,,,24.0,,,26,2019,29.0,24.0
André Luís (ATA),Fortaleza,4.52,17.0,2.01,2.2,-0.03,,2.0,,,32.0,3.0,5.0,3.0,,,,,4.0,,,10.0,4.0,,26,2019,3.0,16.0
Sornoza (MEI),Corinthians,3.99,15.0,2.0,-3.5,-0.43,,,1.0,,16.0,10.0,6.0,1.0,,,,,4.0,,,18.0,1.0,,26,2019,14.0,16.0
Fred (ATA),Cruzeiro,4.94,21.0,1.98,-4.9,-1.95,,4.0,3.0,,32.0,8.0,12.0,1.0,,,,,8.0,,,31.0,12.0,,26,2019,3.0,41.0
Marcelo Benevenuto (ZAG),Botafogo,5.82,11.0,1.94,10.7,2.25,,2.0,1.0,2.0,12.0,1.0,,1.0,,,2.0,,3.0,,,7.0,,,26,2019,4.0,20.0
Osvaldo (ATA),Fortaleza,5.03,22.0,1.88,0.0,0.22,,2.0,3.0,,9.0,11.0,4.0,2.0,,,,1.0,2.0,,,20.0,,,26,2019,9.0,28.0
Ganso (MEI),Fluminense,7.8,19.0,1.87,2.9,0.92,,2.0,,,22.0,12.0,8.0,,,,,,6.0,,,22.0,,,26,2019,21.0,64.0
Tchê Tchê (MEI),São Paulo,4.78,24.0,1.85,0.2,-0.4,,1.0,,,31.0,13.0,8.0,,,,,,5.0,,,29.0,1.0,,26,2019,28.0,53.0
Marquinhos Santos (TEC),Chapecoense,7.23,6.0,1.84,0.3,-0.53,,,,,,,,,,,,,,,,,,,26,2019,,
Bustamante (ATA),CSA,2.74,13.0,1.81,0.8,-0.05,,1.0,1.0,,12.0,7.0,2.0,,,,,,1.0,,,28.0,1.0,,26,2019,12.0,17.0
Patrick (MEI),Grêmio,2.14,12.0,1.77,-0.3,-1.33,,1.0,,,12.0,1.0,3.0,,,,,,,,,2.0,,,26,2019,4.0,7.0
Guilherme Parede (ATA),Internacional,4.58,17.0,1.74,2.5,0.5,,1.0,1.0,,28.0,11.0,8.0,,,,,,2.0,,,18.0,13.0,,26,2019,6.0,17.0
Daniel (MEI),Fluminense,4.17,19.0,1.7,-0.6,-1.53,,1.0,1.0,,26.0,3.0,7.0,,,,,,2.0,,,12.0,,,26,2019,14.0,52.0
Rossi (ATA),Vasco,5.41,19.0,1.69,8.6,1.16,,,2.0,,28.0,13.0,11.0,1.0,,,,,5.0,1.0,,22.0,3.0,,26,2019,15.0,48.0
Marcos Júnior (MEI),Vasco,3.66,18.0,1.68,1.3,0.22,,1.0,,,24.0,6.0,4.0,1.0,,,,,4.0,,,29.0,,,26,2019,23.0,48.0
Gustavo Bochecha (MEI),Botafogo,6.05,19.0,1.67,2.9,0.17,,,1.0,,15.0,7.0,5.0,,,,,,2.0,,,8.0,,,26,2019,24.0,58.0
Elias (MEI),Atlético-MG,8.65,21.0,1.61,2.4,0.3,,1.0,1.0,,14.0,5.0,5.0,1.0,,,,1.0,2.0,,,25.0,,,26,2019,27.0,61.0
Léo Pereira (ZAG),Athlético-PR,7.48,20.0,1.58,-0.6,0.02,,1.0,,5.0,11.0,5.0,3.0,,,,,,5.0,,,23.0,2.0,,26,2019,15.0,47.0
Romulo (MEI),Grêmio,4.58,9.0,1.56,0.0,0.0,,1.0,,,9.0,3.0,2.0,,,,,,3.0,,,18.0,,,26,2019,11.0,16.0
