Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Elton (ATA),Sport,14.21,1.0,15.6,15.6,10.21,,2.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,4.0,1,2020,,
Saravia (LAT),Internacional,13.19,1.0,12.2,12.2,7.19,8.0,,,1.0,3.0,1.0,1.0,,,,,,1.0,,,3.0,,8.0,1,2020,,
Marinho (ATA),Santos,12.1,1.0,11.7,11.7,7.1,1.0,1.0,,,6.0,,1.0,,,,,,,,,2.0,,5.0,1,2020,,
Igor Rabello (ZAG),Atlético-MG,13.41,1.0,10.5,10.5,5.41,5.0,,,1.0,2.0,,,,,,,,,,,,,5.0,1,2020,,
Léo Cittadini (MEI),Athlético-PR,12.9,1.0,9.8,9.8,4.9,,1.0,,,2.0,1.0,,,,,,,,,,,,,1,2020,,
Diego Souza (ATA),Grêmio,12.76,1.0,9.6,9.6,4.76,,1.0,,,2.0,2.0,1.0,,,,,,,,,2.0,,12.0,1,2020,,
Jonatan Gomez (MEI),Sport,11.96,1.0,9.5,9.5,4.96,,1.0,,,3.0,1.0,,,,,,,,,,1.0,,3.0,1,2020,,
Cléber (ATA),Ceará,7.97,1.0,9.0,9.0,5.97,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,3.0,1,2020,,
Alison (MEI),Santos,10.73,1.0,8.8,8.8,4.73,3.0,,1.0,,3.0,,,,,,,,,,,,,7.0,1,2020,,
Pedro Geromel (ZAG),Grêmio,11.09,1.0,8.3,8.3,4.09,5.0,,,1.0,,1.0,,,,,,,,,,3.0,,10.0,1,2020,,
Vanderlei (GOL),Grêmio,9.57,1.0,8.2,8.2,4.57,,,,1.0,,,,,1.0,,,,,,,,,8.0,1,2020,,
Moisés (LAT),Internacional,9.49,1.0,8.1,8.1,4.49,4.0,,,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,14.0,1,2020,,
Guilherme Arana (LAT),Atlético-MG,17.97,1.0,7.8,7.8,0.97,4.0,,,1.0,,,1.0,,,,,,,,,2.0,,14.0,1,2020,,
Aderlan (LAT),Bragantino,8.99,1.0,7.4,7.4,3.99,9.0,,,,,,,,,,,,,,,2.0,,6.0,1,2020,,
Abner Vinícius (LAT),Athlético-PR,7.39,1.0,7.2,7.2,4.39,3.0,,,1.0,,,,,,,,,,,,,,8.0,1,2020,,
Rafael (GOL),Atlético-MG,11.74,1.0,7.2,7.2,2.74,,,,1.0,,,,,1.0,,,,,,,,,18.0,1,2020,,
Thiago Galhardo (MEI),Internacional,10.07,1.0,6.9,6.9,3.07,2.0,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,1,2020,,
Fernando Sobral (MEI),Ceará,7.1,1.0,6.8,6.8,4.1,3.0,,1.0,,1.0,2.0,1.0,,,,,,1.0,,,3.0,,10.0,1,2020,,
Paolo Guerrero (ATA),Internacional,14.13,1.0,6.5,6.5,1.13,,1.0,,,,,,,,,,,,,,2.0,,5.0,1,2020,,
Bruno Cortez (LAT),Grêmio,9.06,1.0,6.5,6.5,3.06,5.0,,,1.0,,,,,,,,,1.0,,,1.0,,10.0,1,2020,,
Dorival Júnior (TEC),Athlético-PR,9.65,1.0,6.31,6.31,2.65,,,,,,,,,,,,,,,,,,,1,2020,,
Matheus Galdezani (MEI),Coritiba,7.9,1.0,5.9,5.9,2.9,3.0,,,,1.0,,,1.0,,,,,,,,,,6.0,1,2020,,
Artur (ATA),Bragantino,13.63,1.0,5.8,5.8,0.63,3.0,,,,3.0,1.0,2.0,,,,,,,,,2.0,,9.0,1,2020,,
Diego Alves (GOL),Flamengo,14.21,1.0,5.6,5.6,0.21,,,,,1.0,,,,2.0,,,,,,1.0,,,9.0,1,2020,,
Patric (LAT),Sport,7.46,1.0,5.3,5.3,2.46,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,10.0,1,2020,,
Willian Arão (MEI),Flamengo,11.02,1.0,5.2,5.2,1.02,5.0,,,,3.0,,,,,,,,,,,2.0,,3.0,1,2020,,
Khellven (LAT),Athlético-PR,5.8,1.0,5.0,5.0,2.8,,,,1.0,1.0,,,,,,,,,,,,,5.0,1,2020,,
Renato Gaúcho (TEC),Grêmio,12.29,1.0,4.95,4.95,0.29,,,,,,,,,,,,,,,,,,,1,2020,,
Kannemann (ZAG),Grêmio,11.45,1.0,4.8,4.8,0.45,1.0,,,1.0,2.0,,,,,,,,,,,4.0,,2.0,1,2020,,
Everton Ribeiro (MEI),Flamengo,6.89,1.0,4.5,4.5,1.89,3.0,,,,2.0,,1.0,,,,,,,,,,,7.0,1,2020,,
Daniel Paulista (TEC),Sport,4.65,1.0,4.42,4.42,2.65,,,,,,,,,,,,,,,,,,,1,2020,,
Víctor Cuesta (ZAG),Internacional,10.44,1.0,4.4,4.4,0.44,3.0,,,1.0,1.0,,,,,,,,1.0,,,3.0,,6.0,1,2020,,
Arrascaeta (MEI),Flamengo,21.24,1.0,4.3,4.3,-3.76,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,10.0,1,2020,,
Sander (LAT),Sport,8.19,1.0,4.3,4.3,1.19,4.0,,,,3.0,,,,,,,,,,,1.0,,7.0,1,2020,,
Gerson (MEI),Flamengo,11.09,1.0,4.3,4.3,0.09,3.0,,,,3.0,1.0,,,,,,,,,,1.0,,5.0,1,2020,,
Dodi (MEI),Fluminense,6.74,1.0,4.3,4.3,1.74,4.0,,,,1.0,1.0,,,,,,,,,,1.0,,5.0,1,2020,,
Eduardo Coudet (TEC),Internacional,10.32,1.0,4.25,4.25,0.32,,,,,,,,,,,,,,,,,,,1,2020,,
Pará (LAT),Santos,8.12,1.0,4.2,4.2,1.12,3.0,,,,,1.0,1.0,,,,,,,,,,,8.0,1,2020,,
Marcelo Lomba (GOL),Internacional,15.22,1.0,4.0,4.0,-1.78,,,,1.0,,,,,,,,,,,,,,10.0,1,2020,,
Patrick Vieira (LAT),Coritiba,5.0,1.0,3.9,3.9,2.0,3.0,,,,2.0,1.0,1.0,,,,,,,,,2.0,,11.0,1,2020,,
Evanilson (ATA),Fluminense,7.1,1.0,3.8,3.8,1.1,1.0,,,,5.0,,1.0,,,,,,,,,1.0,,4.0,1,2020,,
Nenê (MEI),Fluminense,9.06,1.0,3.5,3.5,0.06,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,17.0,1,2020,,
Nikão (MEI),Athlético-PR,14.86,1.0,3.5,3.5,-2.14,,,,,3.0,2.0,1.0,,,,,,,,,1.0,,3.0,1,2020,,
Lucas Veríssimo (ZAG),Santos,11.16,1.0,3.4,3.4,-0.84,4.0,,,,,,,,,,,,,,,,,6.0,1,2020,,
Felipe Jonatan (LAT),Santos,7.54,1.0,3.4,3.4,0.54,4.0,,,,3.0,,,,,,,,,,,2.0,,11.0,1,2020,,
Mateus Gonçalves (ATA),Ceará,5.36,1.0,3.4,3.4,1.36,2.0,,,,1.0,,1.0,,,,,,,,,,,3.0,1,2020,,
Rafael Sobis (ATA),Ceará,8.26,1.0,3.4,3.4,0.26,1.0,,,,,2.0,2.0,,,,,,,,,2.0,,6.0,1,2020,,
Betinho (MEI),Sport,4.57,1.0,3.3,3.3,1.57,5.0,,,,,,,,,,,,,,,2.0,,7.0,1,2020,,
Nathan (MEI),Atlético-MG,7.39,1.0,3.2,3.2,0.39,5.0,,,,,,,,,,,,,,,2.0,1.0,3.0,1,2020,,
Romarinho (ATA),Fortaleza,5.22,1.0,3.2,3.2,1.22,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,3.0,1,2020,,
Ricardo Ryller (MEI),Bragantino,3.7,1.0,3.1,3.1,1.7,4.0,,,,2.0,2.0,,,,,,,1.0,,,2.0,,5.0,1,2020,,
Allan (MEI),Atlético-MG,8.04,1.0,3.1,3.1,0.04,5.0,,,,1.0,2.0,,,,,,,1.0,,,3.0,,5.0,1,2020,,
Cuca (TEC),Santos,8.73,1.0,3.05,3.05,-0.27,,,,,,,,,,,,,,,,,,,1,2020,,
Gabriel (ATA),Flamengo,9.42,1.0,3.0,3.0,-0.58,,,,,1.0,4.0,,,,,,,,,,,,7.0,1,2020,,
Bruno Pacheco (LAT),Ceará,7.25,1.0,3.0,3.0,0.25,4.0,,,,2.0,,,,,,,,,,,2.0,,10.0,1,2020,,
Pepê (ATA),Grêmio,7.97,1.0,3.0,3.0,-0.03,,,,,3.0,1.0,1.0,,,,,,,,,,,5.0,1,2020,,
Gabriel (ZAG),Atlético-MG,7.83,1.0,2.8,2.8,-0.17,1.0,,,1.0,,,,,,,,,1.0,,,2.0,,2.0,1,2020,,
Guto Ferreira (TEC),Ceará,5.59,1.0,2.71,2.71,0.59,,,,,,,,,,,,,,,,,,,1,2020,,
Nathan Silva (MEI),Coritiba,4.13,1.0,2.7,2.7,1.13,4.0,,,,2.0,,,,,,,,,,,4.0,,3.0,1,2020,,
Rafinha (LAT),Flamengo,7.68,1.0,2.6,2.6,-0.32,3.0,,,,5.0,,,,,,,,1.0,,,,,9.0,1,2020,,
Domènec Torrent (TEC),Flamengo,7.63,1.0,2.53,2.53,-0.37,,,,,,,,,,,,,,,,,,,1,2020,,
Maílson (GOL),Sport,4.71,1.0,2.5,2.5,0.71,,,,,,,,,2.0,,,,,,2.0,,,15.0,1,2020,,
Felipe Conceição (TEC),Bragantino,4.55,1.0,2.28,2.28,0.55,,,,,,,,,,,,,,,,,,,1,2020,,
Charles (MEI),Ceará,4.49,1.0,2.2,2.2,0.49,3.0,,,,,,,,,,,,,,,1.0,,3.0,1,2020,,
Bruno Henrique (ATA),Flamengo,16.02,1.0,2.1,2.1,-3.98,2.0,,,,2.0,1.0,,1.0,,,,,1.0,,,3.0,2.0,2.0,1,2020,,
Nino (ZAG),Fluminense,5.87,1.0,2.1,2.1,-0.13,2.0,,,,3.0,,,,,,,,,,,2.0,,4.0,1,2020,,
Gabriel (MEI),Coritiba,5.15,1.0,2.1,2.1,0.15,2.0,,,,1.0,,,,,,,,,,,,,4.0,1,2020,,
Savarino (ATA),Atlético-MG,5.07,1.0,2.0,2.0,0.07,1.0,,,,,,1.0,,,,,,,,,,,2.0,1,2020,,
Alisson (MEI),Grêmio,6.52,1.0,2.0,2.0,-0.48,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,10.0,1,2020,,
Iago Maidana (ZAG),Sport,5.0,1.0,1.9,1.9,0.0,2.0,,,,2.0,,,,,,,,,,,1.0,,6.0,1,2020,,
Matheus Jesus (MEI),Bragantino,6.45,1.0,1.9,1.9,-0.55,1.0,,,,,2.0,,,,,,,,,,1.0,,2.0,1,2020,,
Diego Pituca (MEI),Santos,7.83,1.0,1.8,1.8,-1.17,2.0,,,,2.0,,,,,,,,,,,1.0,,7.0,1,2020,,
Willian Farias (MEI),Sport,5.65,1.0,1.8,1.8,-0.35,2.0,,,,1.0,1.0,,,,,,,,,,2.0,,5.0,1,2020,,
Orejuela (LAT),Grêmio,7.1,1.0,1.8,1.8,-0.9,1.0,,,1.0,2.0,,,,,,,,1.0,,,4.0,,12.0,1,2020,,
Odair Hellmann (TEC),Fluminense,7.69,1.0,1.61,1.61,-1.31,,,,,,,,,,,,,,,,,,,1,2020,,
Léo Ortiz (ZAG),Bragantino,4.78,1.0,1.6,1.6,-0.22,2.0,,,,1.0,,,,,,,,,,,1.0,,4.0,1,2020,,
Luccas Claro (ZAG),Fluminense,4.78,1.0,1.6,1.6,-0.22,2.0,,,,1.0,,,,,,,,,,,,,9.0,1,2020,,
Rafael Luiz (LAT),Sport,1.74,1.0,1.4,1.4,0.74,4.0,,,,3.0,,,,,,,,1.0,,,3.0,1.0,1.0,1,2020,,
Marcos Guilherme (MEI),Internacional,5.36,1.0,1.4,1.4,-0.64,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,4.0,1,2020,,
Wilson (GOL),Coritiba,6.02,1.0,1.3,1.3,-0.98,,,,,,,,,1.0,,,,,,1.0,,,7.0,1,2020,,
Egídio (LAT),Fluminense,5.29,1.0,1.3,1.3,-0.71,3.0,,,,,,,,,,,,,,,1.0,,12.0,1,2020,,
Vladimir (GOL),Santos,5.22,1.0,1.2,1.2,-0.78,,,,,,,,,1.0,,,,,,1.0,,,8.0,1,2020,,
Luiz Otávio (ZAG),Ceará,5.94,1.0,1.2,1.2,-1.06,1.0,,,,1.0,,,,,,,,,,,,,3.0,1,2020,,
Eduardo Barroca (TEC),Coritiba,4.49,1.0,1.2,1.2,-0.51,,,,,,,,,,,,,,,,,,,1,2020,,
Luan Peres (ZAG),Santos,4.42,1.0,1.1,1.1,-0.58,1.0,,,,1.0,,,,,,,,,,,,,4.0,1,2020,,
Kaio Jorge (ATA),Santos,4.35,1.0,1.0,1.0,-0.65,1.0,,,,1.0,2.0,,,,,,,,,,3.0,1.0,1.0,1,2020,,
Osvaldo (ATA),Fortaleza,5.07,1.0,1.0,1.0,-0.93,1.0,,,,1.0,,,,,,,,,,,,,5.0,1,2020,,
Jair (MEI),Atlético-MG,5.73,1.0,0.9,0.9,-1.27,2.0,,,,1.0,,,,,,,,,,,3.0,,1.0,1,2020,,
Tinga (LAT),Fortaleza,4.28,1.0,0.9,0.9,-0.72,1.0,,,,1.0,,,,,,,,,,,,,6.0,1,2020,,
Alerrandro (ATA),Bragantino,4.2,1.0,0.8,0.8,-0.8,,,,,1.0,1.0,1.0,,,,,,,,,1.0,2.0,2.0,1,2020,,
Marquinhos (ATA),Sport,2.75,1.0,0.8,0.8,-0.25,1.0,,,,1.0,,,,,,,,,,,1.0,,2.0,1,2020,,
Muriel (GOL),Fluminense,6.38,1.0,0.8,0.8,-1.62,,,,,,,,,1.0,,,,,,1.0,,,12.0,1,2020,,
Rodrigo Caio (ZAG),Flamengo,9.2,1.0,0.7,0.7,-2.8,1.0,,,,,,,,,,,,,,,,,3.0,1,2020,,
Marcos Paulo (ATA),Fluminense,5.58,1.0,0.7,0.7,-1.42,1.0,,,,,,,,,,,,,,,,,3.0,1,2020,,
Sabino (ZAG),Coritiba,3.41,1.0,0.7,0.7,-0.59,1.0,,,,1.0,,,,,,,,,,,1.0,,3.0,1,2020,,
Ruy (MEI),Coritiba,4.86,1.0,0.7,0.7,-1.14,1.0,,,,1.0,,,,,,,,,,,,,8.0,1,2020,,
Edimar (LAT),Bragantino,3.33,1.0,0.6,0.6,-0.67,2.0,,,,1.0,,,,,,,,,,,1.0,,14.0,1,2020,,
Marrony (ATA),Atlético-MG,5.51,1.0,0.6,0.6,-1.49,,,,,,,1.0,,,,,,,,,1.0,,1.0,1,2020,,
Rodrigo Lindoso (MEI),Internacional,4.78,1.0,0.6,0.6,-1.22,2.0,,,,,,,,,,,,,,,2.0,,4.0,1,2020,,
Wellington Paulista (ATA),Fortaleza,6.16,1.0,0.5,0.5,-1.84,,,,,,,1.0,,,,,,,,,1.0,,2.0,1,2020,,
Yago Felipe (MEI),Fluminense,4.71,1.0,0.5,0.5,-1.29,,,,,3.0,1.0,,,,,,,,,,2.0,,8.0,1,2020,,
Jackson (ZAG),Fortaleza,3.19,1.0,0.4,0.4,-0.81,,,,,1.0,,,,,,,,,,,,,1.0,1,2020,,
Robson (ATA),Coritiba,3.91,1.0,0.4,0.4,-1.09,,,,,5.0,,,,,,,,,,,,3.0,6.0,1,2020,,
Soteldo (ATA),Santos,6.02,1.0,0.3,0.3,-1.98,,,,,1.0,1.0,,,,,,,,,,,,10.0,1,2020,,
Carlos Eduardo (ATA),Athlético-PR,3.12,1.0,0.3,0.3,-0.88,,,,,1.0,,,,,,,,,,,,,2.0,1,2020,,
David (ATA),Fortaleza,3.77,1.0,0.2,0.2,-1.23,1.0,,,,,1.0,,,,,,,,,,2.0,1.0,1.0,1,2020,,
Igor Jesus (ATA),Coritiba,2.25,1.0,0.1,0.1,-0.75,,,,,2.0,,,,,,,,,,,1.0,,4.0,1,2020,,
Santos (GOL),Athlético-PR,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Mauricio Kozlinski (GOL),Atlético-GO,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Edson (MEI),Atlético-GO,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Jorginho (MEI),Atlético-GO,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Willian (ATA),Palmeiras,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Luiz Adriano (ATA),Palmeiras,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Vagner Mancini (TEC),Atlético-GO,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Reginaldo (LAT),Atlético-GO,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Matheuzinho (MEI),Atlético-GO,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Gilvan (ZAG),Atlético-GO,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Marlon Freitas (MEI),Atlético-GO,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Gustavo Ferrareis (MEI),Atlético-GO,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Renato Kayzer (ATA),Atlético-GO,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Nicolas (LAT),Atlético-GO,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Gustavo Gómez (ZAG),Palmeiras,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Weverton (GOL),Palmeiras,14.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Oliveira (ZAG),Atlético-GO,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Fernando Diniz (TEC),São Paulo,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Bruno Alves (ZAG),São Paulo,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Tiago Volpi (GOL),São Paulo,14.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Arboleda (ZAG),São Paulo,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Juanfran (LAT),São Paulo,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Pablo (ATA),São Paulo,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Tchê Tchê (MEI),São Paulo,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Vitor Bueno (MEI),São Paulo,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Fernando Miguel (GOL),Vasco,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Igor Gomes (MEI),São Paulo,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Cano (ATA),Vasco,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Yago Pikachu (LAT),Vasco,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Roger Machado (TEC),Bahia,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Henrique (LAT),Vasco,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Andrey (MEI),Vasco,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Benítez (MEI),Vasco,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Ramon Menezes (TEC),Vasco,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Ricardo (ZAG),Vasco,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Thiago Heleno (ZAG),Athlético-PR,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Talles Magno (ATA),Vasco,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Wellington (MEI),Athlético-PR,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Marquinhos Gabriel (MEI),Athlético-PR,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Fellipe Bastos (MEI),Vasco,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Lucas Halter (ZAG),Athlético-PR,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Paulo Autuori (TEC),Botafogo,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Rossi (ATA),Bahia,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Rodriguinho (MEI),Bahia,17.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Lucas Fonseca (ZAG),Bahia,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Honda (MEI),Botafogo,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Juninho (ZAG),Bahia,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Victor Luis (LAT),Botafogo,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Gatito Fernández (GOL),Botafogo,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Élber (ATA),Bahia,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Douglas Friedrich (GOL),Bahia,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Cássio (GOL),Corinthians,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Vinícius (ATA),Goiás,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Luan (MEI),Corinthians,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Fernandão (ATA),Bahia,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Gil (ZAG),Corinthians,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Nino Paraíba (LAT),Bahia,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Mariano (LAT),Atlético-MG,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Flávio (MEI),Bahia,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Ronaldo (MEI),Bahia,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Juninho Capixaba (LAT),Bahia,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Barrandeguy (LAT),Botafogo,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Douglas Baggio (ATA),Goiás,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Bruno Nazário (MEI),Botafogo,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Luiz Fernando (ATA),Botafogo,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Pedro Raul (ATA),Botafogo,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Marcelo Benevenuto (ZAG),Botafogo,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Rodrigues (LAT),Goiás,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Kanu (ZAG),Botafogo,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Luis Henrique (ATA),Botafogo,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Caio Alexandre (MEI),Botafogo,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Jô (ATA),Corinthians,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Danilo Avelar (ZAG),Corinthians,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Gabriel (MEI),Corinthians,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Ramiro (MEI),Corinthians,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Thalles (MEI),Goiás,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Gabriel Menino (MEI),Palmeiras,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Rodrigo Moledo (ZAG),Internacional,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Rhodolfo (ZAG),Coritiba,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Daniel Bessa (MEI),Goiás,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Breno (MEI),Goiás,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Daniel Alves (MEI),São Paulo,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Reinaldo (LAT),São Paulo,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Heron (ZAG),Goiás,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Victor Andrade (ATA),Goiás,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Luiz Gustavo (ZAG),Goiás,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Marcelo Rangel (GOL),Goiás,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Mateus Vital (MEI),Corinthians,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Yago Rocha (LAT),Goiás,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Tiago Nunes (TEC),Corinthians,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Carlos Augusto (LAT),Corinthians,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Vanderlei Luxemburgo (TEC),Palmeiras,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Marcos Rocha (LAT),Palmeiras,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Ramires (MEI),Palmeiras,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
Patrick de Paula (MEI),Palmeiras,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2020,,
